oliveoil,oliveoil
butter,butter
garlic,garlic
egg,egg
egg,eggs
lemon,lemon
onion,onion
onion,onions
castersugar,castersugar
coriander,coriander
plainflour,plainflour
potato,potato
potato,potatoes
milk,milk
milk,full-fatmilk
castersugar,castersugar
castersugar,goldencastersugar
parsley,parsley
parsley,parsleyleaves
selfraisingflour,self-raisingflour
tomato,tomato
tomato,tomatoes
redonion,redonion
redonion,redonions
ginger,ginger
redchilli,redchilli
redchilli,redchillies
redchilli,redchillis
sunfloweroil,sunfloweroil
sugar,sugar
vanilla,vanilla
vanilla,vanillaextract
vanilla,vanillapod
carrot,carrot
carrot,carrots
cinnamon,cinnamon
bakingpowder,bakingpowder
flour,flour
icingsugar,icingsugar
lime,lime
lime,limes
unsaltedbutter,unsaltedbutter
doublecream,doublecream
orange,orange
orange,oranges
chickenstock,chickenstock
vegetableoil,vegetableoil
vegetableoil,oil
springonion,springonion
honey,honey
lemon,lemon
lemon,lemons
lemon,lemonjuice
lemon,lemonzest
lemon,lemonbalm
parmesan,parmesan
glucose,glucose
glucose,liquidglucose
avocado,avocado
avocado,avocados
avocado,babyavocado
whippingcream,whippingcream
whippingcream,whippedcream
soysauce,soysauce
pepper,pepper
pepper,redpepper
thyme,thyme
thyme,thymeleaves
balsamicvinegar,balsamicvinegar
vegetablestock,vegetablestock
dijonmustard,dijonmustard
brownsugar,brownsugar
shallot,shallot
shallot,shallots
bread,bread
bread,whitebread
mint,mint
mint,mintleaves
cucumber,cucumber
rosemary,rosemary
yoghurt,yoghurt
yoghurt,yogurt
almond,almond
almond,almonds
muscovadosugar,muscovadosugar
muscovadosugar,lightmuscovadosugar
tomatopuree,tomatopuree
tomatopuree,tomatopurée
basil,basil
basil,basilleaves
redwinevinegar,redwinevinegar
mayonnaise,mayonnaise
whitewinevinegar,whitewinevinegar
chocolate,chocolate
crèmefraîche,crèmefraîche
salt,salt
chickenbreast,chickenbreast
chickenbreast,chickenbreasts
springonions,springonions
fetacheese,fetacheese
apple,apple
apple,apples
leek,leek
leek,leeks
water,water
spinach,spinach
souredcream,souredcream
souredcream,sourcream
basmatirice,basmatirice
fishsauce,fishsauce
goldensyrup,goldensyrup
currypowder,currypowder
cocoapowder,cocoapowder
chickpea,chickpea
chickpea,chickpeas
wholegrainmustard,wholegrainmustard
salmon,salmon
watercress,watercress
coconutmilk,coconutmilk
butternutsquash,butternutsquash
rice,rice
courgette,courgette
rocket,rocket
rocket,rocketleaves
oregano,oregano
celery,celery
celery,celerysticks
turmeric,turmeric
dill,dill
peas,peas
peas,pea
greenchilli,greenchilli
bacon,bacon
bacon,rashersbacon
lime,lime
lime,limejuice
walnut,walnut
walnut,walnuts
brandy,brandy
corianderleaves,corianderleaves
shallots,shallots
oats,oats
capers,capers
capers,caper
chives,chives
aubergine,aubergine
pesto,pesto
paprika,paprika
broccoli,broccoli
currypaste,currypaste
demerarasugar,demerarasugar
sage,sage
sage,sageleaves
redpepper,redpepper
redpepper,redpeppers
nutmeg,nutmeg
bayleaf,bayleaf
bayleaf,bayleaves
cloves,cloves
whitewine,whitewine
whitewine,drywhitewine
spaghetti,spaghetti
apricots,apricots
apricots,apricot
tomatoketchup,tomatoketchup
apricotjam,apricotjam
greenbeans,greenbeans
greenbeans,greenbean
cherrytomato,cherrytomato
cherrytomato,cherrytomatoes
sultanas,sultanas
sultanas,sultana
cheddar,cheddar
cheddar,maturecheddar
beef,beef
cornflour,cornflour
pinenuts,pinenuts
pinenuts,pinenut
orangejuice,orangejuice
strawberries,strawberries
mango,mango
blackolives,blackolives
couscous,couscous
tarragon,tarragon
lamb,lamb
ham,ham
goat'scheese,goat'scheese
goat'scheese,goatcheese
anchovy,anchovy
cumin,cumin
fish,fish
cranberries,cranberries
prosciutto,prosciutto
cauliflower,cauliflower
darkchocolate,darkchocolate
rhubarb,rhubarb
cidervinegar,cidervinegar
port,port
chestnutmushroom,chestnutmushroom
beetroot,beetroot
mangochutney,mangochutney
sweetchillisauce,sweetchillisauce
raisins,raisins
raisins,raisin
spinach,spinach
spinach,spinachleaves
spinach,babyspinach
blueberries,blueberries
blueberries,blueberries
chorizo,chorizo
lemongrass,lemongrass
sweetcorn,sweetcorn
redwine,redwine
sherryvinegar,sherryvinegar
breadcrumbs,breadcrumbs
breadcrumbs,breadcrumb
breadcrumbs,whitebreadcrumb
raspberries,raspberries
raspberries,raspberry
prawns,prawns
puffpastry,puffpastry
hazelnuts,hazelnuts
bluecheese,bluecheese
sesameoil,sesameoil
sesameseeds,sesameseeds
radish,radish
radish,radishes
whitechocolate,whitechocolate
groundnutoil,groundnutoil
walnutoil,walnutoil
beefstock,beefstock
ricotta,ricotta
risottorice,risottorice
Chinesefive-spicepowder,Chinesefive-spicepowder
singlecream,singlecream
tuna,tuna
saffron,saffron
wholemealflour,wholemealflour
oystersauce,oystersauce
chillipowder,chillipowder
cayennepepper,cayennepepper
lemoncurd,lemoncurd
staranise,staranise
cabbage,cabbage
peanuts,peanuts
turkey,turkey
maplesyrup,maplesyrup
ricewinevinegar,ricewinevinegar
chickenthigh,chickenthigh
chickenthigh,chickenthighs
parsnip,parsnip